rank,product,brand,rating,feature,rec_type,category,review
7717,딸고 리바이빙 마린 미스트 퓨어 바이탈리티 150ml ,딸고,4.7, 촉촉함(수분공급),촉촉함(수분공급),에센스,85
7718,스포메틱스 트리플 샤이닝 이데베논 앰플 30ml ,한국화장품,4.4, 촉촉함(수분공급),"화이트닝, 주름케어, 피부탄력",에센스,50
7719,에이씨스토리 컨트롤 이펙트 스팟 30ml ,헤이젠,4.8, 촉촉함(수분공급),"화이트닝, 주름케어, 피부탄력",에센스,101
7720,구달 청귤 꿀 보습 앰플 30ml ,코스맥스,4.4, 촉촉함(수분공급),영양공급,에센스,70
7721,IWLT 퓨리파잉 릴리프 수딩 겔 에센스 30ml ,IWLT,4.7, 촉촉함(수분공급),"화이트닝, 주름케어, 피부탄력, 영양공급",에센스,3
7722,숨37도 플로리스 리제너레이팅 에센스 50ml ,엘지생활건강,4.5, ,모든피부용,에센스,23
7723,씨유스킨 GG 세럼 30ml ,씨유스킨,4.8, ,모든피부용,에센스,21
7724,바랑소리 하얌찬 앰플 50ml ,초콜릿코스메틱,4.8, 촉촉함(수분공급),화이트닝,에센스,58
7725,수려한 주름 원액 35ml ,엘지생활건강,4.8, ,모든피부용,에센스,72
7726,더스킨하우스 링클 힐링 시스템 에센스 50ml ,녹십초,3.8, ,모든피부용,에센스,28
7727,숨37도 시크릿 컨센트레이티드 세럼 50ml ,엘지생활건강,4.4, ,모든피부용,에센스,35
7728,리엔케이 셀 투 셀 에센스 스페셜 에디션 105ml ,리엔케이,5, ,"낮, 밤",에센스,1
7729,앰플엔 히알루론샷 앰플 30ml ,코리아나,4.6, 화이트닝,화이트닝,에센스,86
7730,제이앤코슈 펩타이드 볼륨에센스 프리미엄 40ml ,비앤비코리아,5, 촉촉함(수분공급),"주름케어, 피부탄력",에센스,3
7731,기노 롱그 비 비자쥐 앤 꾸 세럼 3ml x 8개 ,기노,5, 촉촉함(수분공급),촉촉함(수분공급),에센스,3
7732,메디큐브 레드 세럼 30ml ,나우코스,5, 트러블케어,"화이트닝, 모공케어",에센스,4
7733,SK-II 셀루미네이션 오라 에센스 50ml ,SK-II,4.9, 트러블케어,"화이트닝, 모공케어",에센스,51
7734,클라란스 수퍼 레스토러티브 트리트먼트 에센스 200ml ,클라란스,4, ,모든피부용,에센스,3
7735,스킨알엑스 스마트 하이드로 퓨어 세럼 150ml ,스킨알엑스,4," 촉촉함(수분공급), 흡수력",영양공급,에센스,3
