rank,product,brand_date,rating,price,category,review
195,스튜디오톰보이 히든버튼 아웃포켓 코트 9109411792 ,신세계톰보이,4.2,"133,930",코트,6
196,가을 겨울 결혼식 하객패션 빅사이즈 카라 자켓 정장 롱 원피스 ,2018.10.,4.5,"37,300",원피스,"1,260"
197,피치기모 베이직 셔츠남방 ,2019.11.,4.5,"19,800",블라우스/셔츠,200
198,유로컬렉션 EUROcollection 밍크 레이어링 숏베스트 ,2019.11.,4.8,"137,220",조끼,229
199,흄 여성 경량 패딩 다운 점퍼 FHNWCUE540P ,케이브랜즈,4.3,"27,690",점퍼,198
200,온앤온 폭스 퍼 롱 덕다운 점퍼 JP9WH802 ,제이앤제이,4.8,"199,800",점퍼,21
201,보브 7150116501 벨트 A라인 코트 ,신세계인터네셔날,5,"272,050",코트,3
202,따뜻한 보이핏 하이웨스트 밴딩 골덴 코듀로이 여성 바지 ,2019.09.,4.5,"22,940",바지,690
203,캐시미어 울 니트 목폴라 ,2018.11.,4.5,"16,800",니트/스웨터,"1,304"
204,지오다노 브러쉬드 부츠컷 슬랙스 419909 ,지오다노,4.6,"36,690",바지,44
205,보웬 홀가 말림 반폴라 ,2019.09.,4.5,"68,500",니트/스웨터,150
206,기획무료배송 모직 플리츠 주름 밴딩 롱스커트 ,2019.10.,4.6,"17,800",스커트,224
207,유로컬렉션 밍크풀스킨 알파카블렌드 롱코트 ,2019.11.,4.6,"439,120",코트,25
208,아니베에프 울 블렌디드 핸드메이드 트렌치형 롱코트 ,아니베에프,4.8,"67,860",코트,9
209,Candy 캐시미어 기본 폴라 니트 ,2019.09.,4.5,"22,800",니트/스웨터,"1,661"
210,썸나드 앵콜재입고 프리미엄 폭스퍼 오리털 100 덕다운 롱패딩 ,2019.10.,4.7,"189,900",점퍼,49
211,어니스트 보석 큐빅 벨벳 카라 원피스 ,어니스트,3.9,"38,690",원피스,19
212,한겨울용 다크 진청 스판 세미 부츠컷 융기모 청바지 ,2019.10.,4.2,"22,800",청바지,506
213,지컷 홀리데이 덕다운 롱 패딩 7259417008 ,신세계인터네셔날,4.7,"258,660",점퍼,9
214,배색 카라 소매프릴 플리츠 롱 니트원피스 ,2019.10.,4.5,"23,800",원피스,38
215,코쿤핏 하이넥 숏패딩 ,2019.11.,4.6,"62,900",점퍼,47
216,조르쥬레쉬 벨티드 구스 하프다운 ,조르쥬레쉬,4.7,"71,610",점퍼,166
217,라운드 V넥 변형 오리털 덕다운 여성경량 패딩 점퍼 ,2019.10.,4.3,"23,500",점퍼,153
218,포근한 가을 겨울 여자 슬림 이너 기모 폴라 티셔츠 ,2019.10.,4.5,"19,800",티셔츠,379
219,지컷 야상다운 폭스 점퍼 7259417006 ,신세계인터네셔날,4.6,"318,350",점퍼,56
220,잇미샤 19FW신상  캐시미어 핸드메이드 코트 ITJBZHL930 ,시선인터내셔널,4.8,"198,057",코트,19
221,포근이 플레어 니트 스커트 부드럽고 쫀쫀한소재 ,2019.10.,4.5,"14,500",스커트,"1,755"
222,기모 레이어드 루즈핏 롱 맨투맨티셔츠 ,2019.10.,4.5,"11,300",티셔츠,581
223,폴로랄프로렌 여성 크루넥 코튼 케이블 니트 ,폴로랄프로렌,4.6,"58,000",니트/스웨터,"2,359"
224,아디다스 윈터 타이츠 CI3252 ,아디다스,4.6,"21,750",레깅스,832
225,빈폴 스포츠 여성 보아 구스 쇼트 다운 점퍼 ,삼성물산,4.6,"217,960",점퍼,28
226,라포프 트윌 팬츠 3종 ,라포프,4.8,"53,910",바지,"1,646"
227,울니트 후드셋트 도톰한 트레이닝 ,2019.10.,4,"27,860",트레이닝복,439
228,밀라노스토리 코듀로이 팬츠 3종 ,2019.10.,4.8,"76,010",바지,181
229,연말 파티를 빛나게 해줄 스팽글 원피스 연말 파티룩 홀복 ,2019.11.,4.4,"24,090",원피스,7
230,빈폴레이디스 울 캐시미어 핸드메이드 벨티드 롱 코트 BF9X30C025 ,삼성물산,5,"452,160",코트,8
231,비단결처럼 부드러운 터틀넥니트 ,2018.11.,4.5,"19,900",니트/스웨터,"2,636"
232,오조이 기모 뽀글이 네온 프린팅 맨투맨 티셔츠 4컬러 ,오조이,4.4,"14,900",티셔츠,532
233,1 1 촉감짱 이너 목폴라 티셔츠 ,2019.09.,4.4,"13,600",티셔츠,"1,311"
234,라우렐 알파카울 홀가먼트 터틀넥 ,선도,4.7,"54,360",니트/스웨터,411
235,사선 니트팬츠 2col ,2019.10.,4.5,"19,800",바지,107
236,보브 숏 인조 무스탕 7158475102 ,신세계인터네셔날,5,"150,400",재킷,3
237,리틀마켓 뽀글이 배색 후드집업 양털자켓 JK04A9 ,리틀마켓,4.2,"36,490",재킷,70
238,자체제작 기장3ver 겨울 스판 와이드핏 슬랙스 ,2019.10.,4.4,"28,790",바지,647
239,게스 여성 피치기모 스키니 OJ4D0401 ,게스,4.8,"50,120",청바지,75
240,써스데이아일랜드 W 허리 스트링 기모 롱 원피스 T198MOP236 ,지엔코,4.6,"144,450",원피스,22
241,라쿤 퍼 웰론 경량 후드 롱패딩 ,2019.12.,4.3,"34,000",점퍼,63
242,온앤온 A라인 핸드메이드 롱코트 벨트 소매브롯치 NW9WH062 ,보끄레머천다이징,4.4,"257,720",코트,47
243,리스트 싱글 버튼 핸드메이드 울 코트 TWHCTJ80130 ,인동에프엔,4.3,"181,770",코트,10
244,클라이드앤 덤블링 점퍼 CJDJP949F ,연승어패럴,4.5,"31,750",점퍼,146
245,쉬즈미스 19FW 후드 더블버튼 구스다운 점퍼 SSDJPJ42050 BK ,인동에프엔,4.8,"85,140",점퍼,17
246,겨울 밍크기모 와이드팬츠 융털 왕기모 통바지 밴딩스판 ,2019.11.,4.2,"18,800",바지,22
247,코인코즈 카라퍼숏패딩 DP9WM802 ,코인코즈,4.5,"84,930",점퍼,49
248,진 NEW 융기모 허리밴딩 슬림부츠컷 밍크기모 기모청바지 여자기모바지 SP973 ,2019.11.,4.4,"20,800",청바지,91
249,지컷 퍼카라 트렌치 다운 코트 7259417013 ,신세계인터네셔날,4.9,"245,280",점퍼,9
250,지오다노 지오다노 HY 여성 겨울 브러쉬드 크루넥 스웨트셔츠 ,지오다노,4.7,"15,580",티셔츠,133
